Date,Open,High,Low,Close,Volume
2025-10-20,57872.8515625,58261.55078125,57872.8515625,58033.19921875,341700.0
2025-10-21,58063.3984375,58155.55078125,57887.19921875,58007.19921875,39000.0
2025-10-23,58314.55078125,58577.5,57951.44921875,58078.05078125,291600.0
2025-10-24,58172.75,58232.8984375,57482.05078125,57699.6015625,132100.0
2025-10-27,57796.44921875,58224.55078125,57652.75,58114.25,153000.0
2025-10-28,58006.55078125,58313.80078125,57770.3515625,58214.1015625,256100.0
2025-10-29,58316.25,58469.8984375,58087.05078125,58385.25,151800.0
2025-10-30,58152.05078125,58331.19921875,57999.19921875,58031.1015625,223000.0
2025-10-31,57942.44921875,58254.94921875,57656.94921875,57776.3515625,307900.0
2025-11-03,57726.8515625,58247.55078125,57718.3984375,58101.44921875,27800.0
2025-11-04,57966.6484375,58119.6484375,57732.94921875,57827.05078125,168600.0
2025-11-06,57714.80078125,57945.05078125,57521.0,57554.25,170400.0
2025-11-07,57391.3984375,58001.3515625,57157.8515625,57876.80078125,142400.0
2025-11-10,57846.19921875,58097.19921875,57846.19921875,57937.55078125,123400.0
2025-11-11,57962.30078125,58187.3515625,57594.25,58138.1484375,119600.0
2025-11-12,58505.3515625,58507.69921875,58171.8515625,58274.6484375,149300.0
2025-11-13,58158.75,58615.94921875,58127.1015625,58381.94921875,121200.0
2025-11-14,58050.0,58590.1484375,58050.0,58517.55078125,114800.0
2025-11-17,58696.30078125,59001.55078125,58605.30078125,58962.69921875,157500.0
2025-11-18,58990.5,59103.6484375,58798.8984375,58899.25,145500.0
2025-11-19,58908.1484375,59264.25,58688.55078125,59216.05078125,149800.0
2025-11-20,59308.19921875,59440.1015625,59125.25,59347.69921875,120000.0
2025-11-21,59116.69921875,59232.1484375,58823.6484375,58867.69921875,121400.0
2025-11-24,58996.8984375,59309.8984375,58649.5,58835.3515625,190400.0
2025-11-25,58925.6484375,59166.1484375,58746.19921875,58820.30078125,137400.0
2025-11-26,58783.05078125,59554.94921875,58783.05078125,59528.05078125,140200.0
2025-11-27,59605.30078125,59866.6015625,59523.0,59737.30078125,137800.0
2025-11-28,59758.69921875,59897.5,59598.94921875,59752.69921875,100000.0
2025-12-01,60102.05078125,60114.30078125,59527.6015625,59681.3515625,122300.0
2025-12-02,59354.19921875,59656.55078125,59251.94921875,59273.80078125,207100.0
2025-12-03,59158.69921875,59414.8984375,58925.69921875,59348.25,166400.0
2025-12-04,59287.1015625,59548.69921875,59062.1484375,59288.69921875,109600.0
2025-12-05,59133.19921875,59806.6015625,59106.55078125,59777.19921875,119500.0
2025-12-08,59672.05078125,59713.1484375,59030.6015625,59238.55078125,131200.0
2025-12-09,58918.8515625,59358.25,58878.44921875,59222.3515625,137800.0
2025-12-10,59281.55078125,59440.8984375,58853.8984375,58960.3984375,105200.0
2025-12-11,58966.19921875,59423.3515625,58799.8984375,59209.8515625,96900.0
2025-12-12,59401.5,59545.69921875,59224.8515625,59389.94921875,107700.0
2025-12-15,59053.69921875,59533.0,59052.30078125,59461.80078125,125200.0
2025-12-16,59288.75,59335.25,58966.3515625,59034.6015625,123300.0
2025-12-17,59072.80078125,59127.19921875,58801.3984375,58926.75,132700.0
2025-12-18,58712.69921875,59211.0,58712.69921875,58912.8515625,97400.0
2025-12-19,59047.3984375,59140.55078125,58897.5,59069.19921875,179100.0
2025-12-22,59224.75,59371.19921875,59155.5,59304.0,114800.0
2025-12-23,59334.3515625,59402.3515625,59216.75,59299.55078125,91800.0
2025-12-24,59322.94921875,59478.1484375,59118.25,59183.6015625,82500.0
2025-12-26,59092.8515625,59180.6484375,58947.05078125,59011.3515625,72900.0
2025-12-29,59007.05078125,59140.3984375,58809.55078125,58932.3515625,106900.0
2025-12-30,58885.94921875,59272.69921875,58737.6015625,59171.25,295700.0
2025-12-31,59194.6015625,59766.19921875,59187.1015625,59581.8515625,122600.0
2026-01-01,59674.80078125,59743.19921875,59569.6484375,59711.55078125,71800.0
2026-01-02,59757.3984375,60203.75,59738.25,60150.94921875,250400.0
2026-01-05,60360.3984375,60437.3515625,59859.80078125,60044.19921875,318500.0
2026-01-06,59957.80078125,60305.0,59844.80078125,60118.3984375,295400.0
2026-01-07,60039.69921875,60065.3984375,59760.6484375,59990.8515625,376300.0
2026-01-08,59893.1484375,60112.8515625,59564.80078125,59686.5,312900.0
2026-01-09,59558.1484375,59739.6484375,59154.19921875,59251.55078125,272500.0
2026-01-12,59217.25,59541.1015625,58864.19921875,59450.5,262400.0
2026-01-13,59767.55078125,59767.55078125,59312.05078125,59578.80078125,224200.0
2026-01-14,59330.3515625,59796.6484375,59324.19921875,59580.1484375,341500.0
2026-01-16,59590.3515625,60235.1484375,59510.5,60095.1484375,478100.0
2026-01-19,60093.30078125,60107.5,59594.6015625,59891.3515625,492900.0
2026-01-20,59851.3984375,59993.5,59283.94921875,59404.19921875,396100.0
2026-01-21,59142.0,59447.3515625,58278.6015625,58800.30078125,331700.0
2026-01-22,59194.25,59573.1015625,58823.05078125,59200.1015625,300700.0
2026-01-23,59305.1484375,59400.1484375,58346.25,58473.1015625,323400.0
2026-01-27,58366.05078125,59436.80078125,58121.6015625,59205.44921875,388800.0
2026-01-28,59575.6484375,59699.8984375,59240.1015625,59598.80078125,289300.0
2026-01-29,59416.25,60060.69921875,59339.0,59957.8515625,617400.0
2026-01-30,59542.25,59906.8984375,59501.80078125,59610.44921875,317800.0
2026-02-02,58239.30078125,58687.05078125,57829.8515625,58619.0,282500.0
2026-02-03,61411.19921875,61764.8515625,59793.19921875,60041.30078125,368300.0
2026-02-04,60163.3515625,60389.3984375,59891.75,60238.1484375,255600.0
2026-02-05,60315.3515625,60328.30078125,59881.05078125,60063.6484375,200.0
2026-02-06,59967.1015625,60149.8984375,59644.55078125,60120.55078125,204800.0
2026-02-09,60805.19921875,60876.19921875,60495.69921875,60669.3515625,263400.0
2026-02-10,60740.80078125,60797.55078125,60531.55078125,60626.3984375,215900.0
2026-02-11,60670.25,60779.94921875,60444.6484375,60745.3515625,235100.0
2026-02-12,60786.1484375,60864.3984375,60597.6484375,60739.75,267000.0
2026-02-13,60504.3984375,60621.8984375,60073.55078125,60186.6484375,236600.0
2026-02-16,59947.80078125,61011.30078125,59861.1015625,60949.1015625,168600.0
2026-02-17,60821.1484375,61241.6015625,60560.0,61174.0,264000.0
2026-02-18,61255.3515625,61596.8515625,61100.8984375,61550.80078125,218100.0
2026-02-19,61660.8515625,61678.80078125,60592.8984375,60739.55078125,190600.0
2026-02-20,60627.8515625,61360.5,60562.3515625,61172.0,219800.0
2026-02-23,61145.55078125,61517.80078125,61029.1484375,61264.25,841900.0
2026-02-24,61392.1015625,61435.6484375,60801.8515625,61047.30078125,587700.0
2026-02-25,61175.05078125,61317.55078125,60816.75,61043.3515625,321600.0
2026-02-26,61193.8984375,61284.75,60813.30078125,61187.69921875,602700.0
2026-02-27,61057.44921875,61086.44921875,60438.94921875,60529.0,369200.0
2026-03-02,59204.30078125,60177.5,59148.0,59839.6484375,387100.0
2026-03-04,58447.1484375,59058.3984375,58393.55078125,58755.25,363100.0
2026-03-05,59008.25,59274.3515625,58506.3984375,59055.8515625,273500.0
2026-03-06,58629.6015625,58807.1484375,57696.3984375,57783.25,256900.0
2026-03-09,56121.3984375,56274.1484375,55270.6015625,56019.80078125,374100.0
2026-03-10,56583.8515625,57097.05078125,56387.19921875,56950.80078125,346800.0
2026-03-11,56790.3984375,56938.3984375,55631.94921875,55735.75,261000.0
2026-03-12,55008.19921875,55636.94921875,54760.55078125,55100.94921875,311300.0
2026-03-13,54592.05078125,54713.75,53675.69921875,53757.8515625,327500.0
2026-03-16,53721.5,54664.1484375,53258.1484375,54413.3984375,390200.0
2026-03-17,54649.1015625,54996.0,54113.1484375,54876.0,277100.0
2026-03-18,54927.05078125,55554.1484375,54689.1015625,55326.05078125,223200.0
2026-03-19,53474.55078125,54150.30078125,53240.6015625,53451.0,395300.0
2026-03-20,53548.19921875,54382.44921875,53297.55078125,53427.05078125,403500.0
2026-03-23,52576.1015625,52665.30078125,51323.6015625,51437.75,397300.0
2026-03-24,52384.80078125,52949.1484375,51827.5,52605.6484375,340600.0
2026-03-25,53024.75,54146.1484375,53024.75,53708.1015625,348600.0
2026-03-27,53244.25,53292.5,52211.19921875,52274.6015625,653000.0
2026-03-30,51527.8984375,51624.5,50105.25,50275.3515625,564900.0
2026-04-01,51433.8984375,52025.8515625,51133.55078125,51448.6484375,370100.0
2026-04-02,50625.6484375,51731.94921875,49954.8515625,51548.75,339200.0
2026-04-06,51747.6015625,52704.55078125,51111.1015625,52609.1015625,355000.0
2026-04-07,52258.69921875,52778.19921875,51868.44921875,52716.25,279700.0
2026-04-08,54904.44921875,55778.25,54797.5,55703.8984375,443600.0
2026-04-09,55505.94921875,55583.1015625,54626.8515625,54821.69921875,298800.0
2026-04-10,55182.25,55978.5,55145.25,55912.75,281000.0
2026-04-13,54646.0,55752.6484375,54356.19921875,55605.05078125,303600.0
2026-04-15,56343.44921875,56786.25,56109.19921875,56301.94921875,268000.0
2026-04-16,56657.25,56834.25,55898.25,56086.3984375,402200.0
2026-04-17,56072.3984375,56628.69921875,55841.6484375,56565.69921875,290600.0
2026-04-20,56704.05078125,57085.1015625,56356.55078125,56582.3515625,596100.0
2026-04-21,56823.6015625,57456.30078125,56696.30078125,57371.44921875,281400.0
2026-04-22,57163.3515625,57438.19921875,57002.1484375,57124.44921875,261900.0
2026-04-23,56608.94921875,56868.69921875,56217.1484375,56305.0,336300.0
2026-04-24,56170.19921875,56460.5,55750.3984375,56089.75,241200.0
2026-04-27,56162.6015625,56474.94921875,55911.1015625,56264.30078125,235500.0
2026-04-28,55862.5,56138.05078125,55263.75,55400.3515625,292600.0
2026-04-29,55634.5,56178.75,55290.5,55403.6015625,313100.0
2026-04-30,54880.6484375,55111.6015625,54440.25,54863.3515625,299000.0
2026-05-04,54937.8984375,55602.30078125,54723.5,54878.5,282600.0
2026-05-05,54691.30078125,54888.55078125,54221.6484375,54547.05078125,379800.0
2026-05-06,55113.3984375,56078.80078125,54587.19921875,55981.05078125,653300.0
2026-05-07,56114.0,56334.1484375,55783.19921875,56047.3984375,463500.0
2026-05-08,55783.94921875,55797.69921875,55062.5,55310.55078125,429500.0
2026-05-11,54832.44921875,55002.44921875,54360.69921875,54439.8984375,486800.0
2026-05-12,54178.3984375,54365.44921875,53457.5,53555.19921875,364400.0
2026-05-13,53600.3984375,54103.8984375,53194.25,53456.1484375,305900.0
2026-05-14,53639.5,54393.75,53191.6015625,54128.94921875,311800.0
2026-05-15,54207.75,54325.44921875,53628.30078125,53710.3515625,315100.0
2026-05-18,53282.1484375,53667.55078125,52783.44921875,53537.0,311800.0
2026-05-19,53553.75,53770.6484375,53337.05078125,53409.1484375,267800.0
2026-05-20,53015.69921875,53640.8984375,52836.1015625,53562.19921875,221400.0
2026-05-21,53963.1015625,54109.1484375,53156.1484375,53439.3984375,285500.0
2026-05-22,53483.8515625,54213.05078125,53483.55078125,54055.3515625,229300.0
2026-05-25,54610.55078125,55405.19921875,54590.69921875,55293.6484375,262400.0
2026-05-26,55311.80078125,55536.80078125,54979.75,55092.8984375,321300.0
2026-05-27,54992.94921875,55221.69921875,54738.6015625,54853.8515625,268100.0
2026-05-29,54748.30078125,55184.44921875,54116.1484375,54239.19921875,1042600.0
2026-06-01,54403.8515625,54582.75,53470.0,53643.1015625,322900.0
2026-06-02,53265.1015625,53933.55078125,53121.8515625,53714.6484375,406400.0
2026-06-03,53541.1015625,54299.3515625,53027.1484375,54185.94921875,339100.0
2026-06-04,53918.8515625,54461.0,53829.3984375,54307.8515625,273700.0
2026-06-05,54405.19921875,54865.5,54140.6015625,54496.25,369000.0
2026-06-08,53853.44921875,54455.19921875,53843.30078125,54063.75,299400.0
2026-06-09,54265.0,55318.3515625,54242.30078125,55194.5,409700.0
2026-06-10,55110.5,55555.8515625,55026.1484375,55100.30078125,343200.0
2026-06-11,54779.6484375,55600.1484375,54753.1484375,55176.75,339400.0
2026-06-12,55934.1015625,56867.1015625,55726.55078125,56814.80078125,337400.0
2026-06-15,57679.6484375,57804.5,57119.19921875,57198.80078125,350700.0
2026-06-16,57320.1015625,57399.69921875,57076.25,57297.1484375,375400.0
2026-06-17,57434.05078125,57646.1484375,57222.3984375,57585.05078125,583400.0
2026-06-18,57596.44921875,58021.25,57583.19921875,57963.80078125,409600.0
2026-06-19,57754.94921875,57804.8984375,57464.55078125,57685.75,285800.0
2026-06-22,57906.8984375,58009.1015625,57720.1015625,57935.6015625,293500.0
2026-06-23,57886.75,57970.8984375,57078.44921875,57183.75,267200.0
2026-06-24,57074.8984375,58256.3515625,57074.8984375,58150.3515625,283200.0
2026-06-25,58493.8515625,58706.05078125,58109.8515625,58177.05078125,296500.0
2026-06-29,58191.44921875,58318.05078125,57637.25,57727.3515625,529800.0
2026-06-30,58011.94921875,58011.94921875,57456.6484375,57542.8984375,398700.0
2026-07-01,57573.3515625,58134.1484375,57487.8515625,58033.05078125,260500.0
2026-07-02,58134.5,58396.1015625,57884.6015625,58031.6484375,273300.0
2026-07-03,58343.25,58343.25,57799.05078125,57938.5,326300.0
2026-07-06,57983.8984375,58477.30078125,57938.6484375,58291.5,284400.0
2026-07-07,58567.8515625,58581.1015625,58110.1015625,58200.69921875,261900.0
2026-07-08,57918.25,58075.6015625,56549.3984375,56742.6015625,304900.0
2026-07-09,56871.0,57464.19921875,56867.30078125,57252.44921875,231600.0
2026-07-10,57592.5,58251.94921875,57576.69921875,58045.8984375,235600.0
2026-07-13,57616.69921875,58219.8984375,57492.05078125,58131.44921875,210300.0
2026-07-14,57832.55078125,57840.05078125,57286.8984375,57462.30078125,206800.0
2026-07-15,57643.75,58148.80078125,57545.19921875,57757.8515625,231000.0
2026-07-16,57831.1015625,57931.30078125,57420.1484375,57582.25,171400.0
2026-07-17,57662.0,58596.8515625,57542.1484375,58521.3984375,251900.0
2026-07-20,57738.25,58111.0,57533.1015625,57945.0,540500.0
2026-07-21,57853.75,58228.6484375,57803.8515625,57835.3515625,312600.0
2026-07-22,57768.3984375,57824.0,56970.6015625,57126.80078125,308500.0
2026-07-23,56796.94921875,56930.1484375,56374.75,56592.0,194900.0
2026-07-24,56169.3984375,56831.44921875,56023.6015625,56693.5,218000.0
2026-07-27,57116.80078125,57330.05078125,56928.6484375,57087.19921875,398400.0
2026-07-28,56883.55078125,57054.19921875,56672.3984375,56755.6015625,282600.0
2026-07-29,57126.6015625,57315.94921875,56939.3515625,57205.8984375,176200.0
2026-07-30,57127.05078125,57236.6484375,56768.6015625,57147.5,202900.0
2026-07-31,57225.8984375,57411.25,57139.6015625,57264.8515625,158800.0
2026-08-03,57569.6015625,58247.94921875,57465.94921875,58247.94921875,152700.0
2026-08-04,58068.94921875,58068.94921875,57352.6484375,57907.19921875,168700.0
2026-08-05,57810.05078125,57931.8515625,57456.3515625,57739.94921875,240400.0
2026-08-06,57815.0,58076.8515625,57714.69921875,58063.6484375,211700.0
2026-08-07,57882.0,57994.44921875,57686.55078125,57746.44921875,180000.0
2026-08-10,57812.30078125,58015.8515625,57527.75,57686.94921875,172000.0
2026-08-11,57604.3515625,57607.25,57158.1015625,57446.25,162300.0
2026-08-12,57391.80078125,57885.8515625,57254.0,57885.8515625,269700.0
2026-08-13,57799.1484375,57799.1484375,57548.6015625,57635.25,144700.0
2026-08-14,57589.75,57681.44921875,57380.44921875,57491.1015625,0.0
